"","0","1","2","3","4","5","6","7","8"
"Hsp-NP (c8)",380,2,21,713,1,0,1,0,3
"Hsd-NP (c2)",2304,0,1,4,0,1,0,1,0
"Hsd-G (c13)",71,0,38,0,2,0,0,0,0
"Hsd-PI (c1)",3122,0,0,34,0,0,0,0,0
"Lp-PI (c3)",63,4,26,2113,3,0,5,1,34
"Avp-L (c11)",0,5,11,5,12,1,0,2,306
"Avd-G (c4)",0,1,2188,1,1,0,0,0,7
"Avd-G (c5)",7,2,1819,12,1,2,0,1,2
"Bsl-NP (c9)",34,2,1,67,2,32,789,5,0
"Bsl-G (c6)",7,21,79,2,13,1217,51,4,0
"Myo (c0)",42,3972,29,50,2284,28,1,11,1
"Myo stressed (c7)",11,768,8,12,470,0,0,2,1
"Myo (c12)",7,40,4,13,94,0,0,0,1
"Prc (c10)",4,4,2,5,10,1,0,393,0
"Doublets (c14)",5,0,9,31,4,0,0,11,1
